FrameID, Prepare, Placement, Opacity, Upload, Reproject, Symbol, Render, Total
435, 920, 1722, 1739, 490, 750, 3349, 3384, 12355
436, 944, 586, 599, 332, 809, 3591, 3476, 10338
437, 924, 1839, 1518, 490, 726, 3484, 3076, 12059
438, 885, 573, 31, 94, 749, 3849, 2967, 9150
439, 969, 1687, 1642, 518, 730, 3384, 3126, 12058
440, 899, 527, 27, 84, 711, 3830, 3095, 9175
441, 1178, 1794, 1760, 442, 839, 3421, 3072, 12507
442, 856, 548, 30, 89, 721, 3864, 3064, 9173
443, 951, 1704, 1588, 457, 715, 3402, 3089, 11907
444, 1129, 1064, 1931, 358, 796, 4374, 3499, 13154
445, 949, 1818, 1858, 471, 835, 4489, 3675, 14098
446, 1052, 692, 34, 86, 835, 4296, 3730, 10726
447, 895, 1867, 2073, 553, 895, 4481, 3600, 14366
448, 897, 587, 32, 83, 840, 4594, 3577, 10612
449, 948, 1986, 1997, 553, 823, 4136, 3565, 14011
450, 975, 560, 27, 85, 803, 4679, 3575, 10706
451, 913, 1936, 1942, 530, 820, 4251, 3567, 13960
452, 948, 582, 26, 85, 858, 4631, 3545, 10677
453, 923, 1972, 3255, 530, 813, 4569, 4103, 16167
454, 1051, 519, 23, 83, 800, 4522, 3540, 10540
455, 903, 1929, 2036, 514, 854, 4126, 3687, 14052
456, 977, 554, 27, 82, 821, 4628, 3461, 10553
457, 917, 1898, 5842, 510, 906, 5078, 3673, 18826
458, 802, 465, 20, 77, 914, 4640, 3649, 10568
459, 1063, 1963, 1939, 569, 818, 4133, 3890, 14376
460, 993, 585, 28, 265, 832, 4763, 3364, 10831
461, 737, 1775, 1654, 331, 873, 4296, 3469, 13137
462, 754, 461, 20, 97, 1071, 4460, 3803, 10668
463, 951, 1998, 2082, 581, 857, 4400, 3617, 14488
464, 977, 563, 27, 81, 848, 4725, 3467, 10690
465, 1120, 1959, 2405, 510, 873, 4167, 3621, 14657
466, 824, 580, 34, 113, 961, 4596, 3822, 10931
467, 1209, 1742, 1954, 516, 866, 4559, 3836, 14684
468, 878, 547, 27, 81, 860, 4770, 3589, 10755
469, 934, 2050, 1923, 496, 861, 4234, 3614, 14114
470, 909, 578, 33, 102, 848, 4749, 3585, 10807
471, 835, 2379, 2184, 512, 851, 4682, 3769, 15214
472, 939, 565, 31, 103, 924, 4605, 3558, 10727
473, 923, 2154, 2179, 546, 876, 4118, 3542, 14340
474, 994, 559, 31, 105, 846, 4637, 3581, 10755
475, 921, 2052, 1925, 496, 884, 4199, 3606, 14085
476, 1053, 584, 26, 86, 927, 4618, 3562, 10858
477, 946, 1989, 1907, 500, 943, 4430, 3634, 14351
478, 930, 554, 29, 104, 871, 4634, 3715, 10839
479, 929, 2141, 2206, 501, 919, 4133, 3584, 14414
480, 1192, 502, 26, 75, 862, 4727, 3495, 10881
481, 917, 1874, 1913, 557, 862, 4213, 3603, 13940
482, 969, 566, 27, 83, 1016, 4517, 3460, 10639
483, 1348, 1912, 1886, 568, 938, 4204, 4030, 14888
484, 977, 712, 29, 93, 898, 4427, 3560, 10698
485, 960, 1904, 1956, 503, 1000, 4129, 3743, 14196
486, 1035, 556, 26, 1029, 920, 4554, 3770, 11891
487, 891, 1940, 2009, 534, 912, 4280, 3613, 14182
488, 977, 554, 27, 727, 1306, 4444, 4057, 12093
489, 959, 1965, 3354, 510, 901, 4823, 3972, 16486
490, 1246, 508, 293, 367, 1051, 4550, 3780, 11796
491, 957, 2031, 1870, 639, 906, 4149, 3661, 14215
492, 916, 581, 29, 93, 894, 4701, 3506, 10722
493, 1186, 1857, 3947, 690, 929, 4998, 3605, 17213
494, 816, 462, 20, 79, 929, 4792, 3489, 10589
495, 937, 1998, 2290, 668, 881, 4131, 3573, 14479
496, 950, 564, 46, 84, 923, 4455, 3616, 10641
497, 898, 1942, 2297, 715, 889, 4172, 3677, 14592
498, 911, 686, 32, 84, 882, 4653, 3513, 10764
499, 947, 1897, 64, 117, 986, 4167, 3565, 11745
500, 911, 134, 22, 160, 957, 4448, 3711, 10345
501, 998, 222, 11, 124, 1067, 4251, 4044, 10718
502, 987, 170, 16, 299, 950, 4423, 3637, 10485
503, 926, 170, 17, 259, 955, 4338, 3692, 10359
504, 2128, 554, 158, 419, 1095, 5131, 5641, 15127
505, 1099, 380, 2180, 583, 979, 5877, 4176, 15276
506, 839, 144, 23, 162, 956, 4876, 3910, 10911
507, 988, 180, 64, 541, 1079, 4989, 4018, 11861
508, 949, 188, 210, 719, 940, 4941, 3900, 11849
509, 938, 187, 182, 580, 890, 4955, 4342, 12077
510, 968, 188, 230, 391, 939, 4945, 4292, 11955
511, 1170, 229, 124, 631, 926, 5144, 4158, 12385
512, 990, 200, 216, 516, 937, 4868, 4266, 11995
513, 1140, 197, 197, 542, 1143, 5000, 4131, 12352
514, 1123, 196, 137, 601, 977, 5145, 3974, 12154
515, 1151, 191, 209, 673, 936, 5010, 3954, 12127
516, 971, 186, 124, 301, 922, 4903, 4270, 11679
517, 988, 559, 27, 628, 865, 5092, 4348, 12509
518, 1085, 1586, 2061, 675, 996, 5891, 4336, 16632
519, 6183, 9967, 2660, 995, 990, 5235, 6334, 32366
520, 851, 662, 415, 447, 890, 4733, 9402, 17403
521, 855, 1891, 2562, 956, 882, 4851, 4504, 16503
522, 820, 483, 450, 764, 855, 4908, 8173, 16455
523, 849, 6399, 2439, 801, 1053, 7076, 4112, 22732
524, 1648, 532, 487, 482, 1263, 8889, 4390, 17692
525, 1139, 1837, 2694, 657, 861, 4738, 6335, 18263
526, 1074, 630, 30, 102, 1120, 5392, 5922, 14273
527, 894, 1649, 4006, 814, 845, 4737, 4494, 17441
528, 1003, 674, 1637, 152, 1060, 5297, 4347, 14172
529, 1098, 5214, 2502, 820, 899, 4710, 4034, 19280
530, 940, 494, 32, 95, 915, 5449, 3994, 11921
